============================ JStylo Analysis Output ============================
Started analysis on 2013-03-22, 16:22:07
Running 10-folds cross validation on training corpus

Training corpus:
> aa (14 documents)
> b (17 documents)
> bb (19 documents)
> c (18 documents)
> e (16 documents)
> ff (14 documents)
> gg (14 documents)
> i (14 documents)
> ii (14 documents)
> mm (14 documents)
> pp (22 documents)
> q (15 documents)
> tt (16 documents)
> vv (14 documents)
> z (13 documents)

Feature set: 9 feature-set:
> Unique Words Count
> Complexity
> Sentence Count
> Average Sentence Length
> Average Syllables in Word
> Gunning-Fog Readability Index
> Character Space
> Letter Space
> Flesch Reading Ease Score

Classifiers used:
> weka.classifiers.functions.SMO                    	-C 1.0 -L 0.0010 -P 1.0E-12 -N 0 -V -1 -W 1 -K weka.classifiers.functions.supportVector.PolyKernel -C 250007 -E 1.0 

================================================================================

2013-03-22, 16:22:07 Extracting features from training corpus (using sparse representation)...
2013-03-22, 16:22:11 done!

Training corpus features (ARFF):
================================
@relation JStylo

@attribute 'Unique-Words-Count{-}' numeric
@attribute 'Complexity{-}' numeric
@attribute 'Sentence-Count{-}' numeric
@attribute 'Average-Sentence-Length{-}' numeric
@attribute 'Average-Syllables-in-Word{-}' numeric
@attribute 'Gunning-Fog-Readability-Index{-}' numeric
@attribute 'Character-Space{-}' numeric
@attribute 'Letter-Space{-}' numeric
@attribute 'Flesch-Reading-Ease-Score{-}' numeric
@attribute authorName {aa,b,bb,c,e,ff,gg,i,ii,mm,pp,q,tt,vv,z}

@data
{0 249,1 0.491124,2 19,3 26.684211,4 1.593688,5 16.275262,6 2863,7 2304,8 44.924491}
{0 278,1 0.545098,2 20,3 25.5,4 1.67451,5 17.337255,6 2966,7 2384,8 39.288971}
{0 260,1 0.529532,2 22,3 22.318182,4 1.745418,5 17.562711,6 3030,7 2439,8 36.519724}
{0 257,1 0.529897,2 20,3 24.25,4 1.783505,5 18.607216,6 2984,7 2407,8 31.336714}
{0 242,1 0.484,2 21,3 23.809524,4 1.826,5 18.16381,6 3187,7 2589,8 28.188733}
{0 274,1 0.548,2 23,3 21.73913,4 1.646,5 15.095652,6 2877,7 2304,8 45.518183}
{0 252,1 0.521739,2 24,3 20.125,4 1.575569,5 13.68147,6 2756,7 2201,8 53.114957}
{0 261,1 0.530488,2 24,3 20.5,4 1.760163,5 16.16748,6 3047,7 2456,8 37.117744}
{0 248,1 0.496994,2 28,3 17.821429,4 1.839679,5 15.946207,6 3108,7 2507,8 33.109376}
{0 268,1 0.548057,2 22,3 22.227273,4 1.785276,5 16.74367,6 3054,7 2437,8 33.239962}
{0 281,1 0.578189,2 21,3 23.142857,4 1.825103,5 17.5699,6 3114,7 2534,8 28.941296}
{0 256,1 0.513026,2 23,3 21.695652,4 1.577154,5 14.049002,6 2850,7 2276,8 51.386659}
{0 251,1 0.5154,2 21,3 23.190476,4 1.550308,5 15.107813,6 2714,7 2169,8 52.140609}
